,rocket,success,id
90,5e9d0d95eda69973a809d1ec,TRUE,5eb87d42ffd86e000604b384
91,5e9d0d95eda69973a809d1ec,TRUE,5eb87d43ffd86e000604b385
92,5e9d0d95eda69973a809d1ec,TRUE,5eb87d44ffd86e000604b386
93,5e9d0d95eda69973a809d1ec,TRUE,5eb87d46ffd86e000604b388
94,5e9d0d95eda69973a809d1ec,TRUE,5eb87d45ffd86e000604b387
95,5e9d0d95eda69973a809d1ec,TRUE,5eb87d46ffd86e000604b389
96,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4affd86e000604b38b
97,5e9d0d95eda69973a809d1ec,TRUE,5eb87d50ffd86e000604b394
98,5e9d0d95eda69973a809d1ec,TRUE,5ed9819a1f30554030d45c29
99,5e9d0d95eda69973a809d1ec,TRUE,5ed981d91f30554030d45c2a
100,5e9d0d95eda69973a809d1ec,TRUE,5eb87d47ffd86e000604b38a
101,5e9d0d95eda69973a809d1ec,TRUE,5ef6a1e90059c33cee4a828a
102,5e9d0d95eda69973a809d1ec,TRUE,5ef6a2090059c33cee4a828b
103,5e9d0d95eda69973a809d1ec,TRUE,5ef6a2bf0059c33cee4a828c
104,5e9d0d95eda69973a809d1ec,TRUE,5ef6a2e70059c33cee4a8293
105,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4cffd86e000604b38d
106,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4dffd86e000604b38e
107,5e9d0d95eda69973a809d1ec,TRUE,5ed983aa1f30554030d45c31
108,5e9d0d95eda69973a809d1ec,TRUE,5fb95b3f3a88ae63c954603c
109,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4effd86e000604b391
110,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4bffd86e000604b38c
111,5e9d0d95eda69973a809d1ec,TRUE,5f8399fb818d8b59f5740d43
112,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4fffd86e000604b393
113,5e9d0d95eda69973a809d1ec,TRUE,5fbfecce54ceb10a5664c80a
114,5e9d0d95eda69973a809d1ec,TRUE,5fd386aa7faea57d297c86c1
115,5e9d0d95eda69973a809d1ec,TRUE,5ff6554f9257f579ee3a6c5f
116,5e9d0d95eda69973a809d1ec,TRUE,600f9a5e8f798e2a4d5f979c
117,5e9d0d95eda69973a809d1ec,TRUE,5fbfecfe54ceb10a5664c80b
118,5e9d0d95eda69973a809d1ec,TRUE,600f9a718f798e2a4d5f979d
119,5e9d0d95eda69973a809d1ec,TRUE,600f9a8d8f798e2a4d5f979e
120,5e9d0d95eda69973a809d1ec,TRUE,60428aafc041c16716f73cd7
121,5e9d0d95eda69973a809d1ec,TRUE,60428ac4c041c16716f73cd8
122,5e9d0d95eda69973a809d1ec,TRUE,5fe3af58b3467846b324215f
123,5e9d0d95eda69973a809d1ec,TRUE,605b4b6aaa5433645e37d03f
124,5e9d0d95eda69973a809d1ec,TRUE,605b4b7daa5433645e37d040
125,5e9d0d95eda69973a809d1ec,TRUE,6079bd1c9a06446e8c61bf76
126,5e9d0d95eda69973a809d1ec,TRUE,605b4b95aa5433645e37d041
127,5e9d0d95eda69973a809d1ec,TRUE,6079bd399a06446e8c61bf77
128,5e9d0d95eda69973a809d1ec,TRUE,5fe3af84b3467846b3242161
129,5e9d0d95eda69973a809d1ec,TRUE,5fe3af6db3467846b3242160
130,5e9d0d95eda69973a809d1ec,TRUE,5eb87d4effd86e000604b390
131,5e9d0d95eda69973a809d1ec,TRUE,600f9b6d8f798e2a4d5f979f
132,5e9d0d95eda69973a809d1ec,TRUE,5fe3b11eb3467846b324216c
133,5e9d0d95eda69973a809d1ec,TRUE,60e3bf0d73359e1e20335c37
134,5e9d0d95eda69973a809d1ec,TRUE,607a37565a906a44023e0866
135,5e9d0d95eda69973a809d1ec,TRUE,5fe3b15eb3467846b324216d
136,5e9d0d95eda69973a809d1ec,TRUE,618faad2563d69573ed8ca9d
137,5e9d0d95eda69973a809d1ec,TRUE,5fe3b107b3467846b324216b
138,5e9d0d95eda69973a809d1ec,TRUE,6161c94c6db1a92bfba85349
